id,orden,palabra,valoracion,estimulo
-M0KG86wUxbjKn2YZhdp,1,tecnologia,5,Ciencia de datos
-M0KG86wUxbjKn2YZhdp,2,control_social,0,Ciencia de datos
-M0KG86wUxbjKn2YZhdp,3,estadistico,5,Ciencia de datos
-M0KG86wUxbjKn2YZhdp,4,informacion,10,Ciencia de datos
-M0KG86wUxbjKn2YZhdp,5,investigacion,10,Ciencia de datos
-M0U6kFwRY7AWj0WNCUa,1,crecimiento,10,Conocimiento
-M0U6kFwRY7AWj0WNCUa,2,adquirir,10,Conocimiento
-M0U6kFwRY7AWj0WNCUa,3,lectura,10,Conocimiento
-M0U6kFwRY7AWj0WNCUa,4,informar,10,Conocimiento
-M0U6kFwRY7AWj0WNCUa,5,tiempo,5,Conocimiento
-M0U7_pJAU9Ehga0LIWq,1,informacion,10,Big data
-M0U7_pJAU9Ehga0LIWq,2,tecnologia,10,Big data
-M0U7_pJAU9Ehga0LIWq,3,sistema,10,Big data
-M0U7_pJAU9Ehga0LIWq,4,computadora,5,Big data
-M0U7_pJAU9Ehga0LIWq,5,freaks,2,Big data
-M0UC5hYZYjtuyKMHBJM,1,estudio,0,Conocimiento
-M0UC5hYZYjtuyKMHBJM,2,cultura,0,Conocimiento
-M0UC5hYZYjtuyKMHBJM,3,profesor,0,Conocimiento
-M0UC5hYZYjtuyKMHBJM,4,estudiante,0,Conocimiento
-M0UC5hYZYjtuyKMHBJM,5,politica,0,Conocimiento
-M2M9R-DBBKvCzlYoWR0,1,homovidens,7,Big data
-M2M9R-DBBKvCzlYoWR0,2,revolucion,9,Big data
-M2M9R-DBBKvCzlYoWR0,3,virtual,9,Big data
-M2M9R-DBBKvCzlYoWR0,4,analogico,8,Big data
-M2M9R-DBBKvCzlYoWR0,5,digital,7,Big data
-M2MhH9dvNq3RzShEV1-,1,informacion,10,Big data
-M2MhH9dvNq3RzShEV1-,2,accionable,9,Big data
-M2MhH9dvNq3RzShEV1-,3,tecnologia,5,Big data
-M2MhH9dvNq3RzShEV1-,4,ciencia,9,Big data
-M2MhH9dvNq3RzShEV1-,5,estadistico,9,Big data
-M2OlvD1JZjfdTGZsbHw,1,datar,8,Big data
-M2OlvD1JZjfdTGZsbHw,2,tecnologia,8,Big data
-M2OlvD1JZjfdTGZsbHw,3,futuro,10,Big data
-M2OlvD1JZjfdTGZsbHw,4,joven,9,Big data
-M2OlvD1JZjfdTGZsbHw,5,noticiero,9,Big data
-M2OunC4N1HIrIdCXw7z,1,informacion,7,Big data
-M2OunC4N1HIrIdCXw7z,2,tecnologia,6,Big data
-M2OunC4N1HIrIdCXw7z,3,avance,6,Big data
-M2OunC4N1HIrIdCXw7z,4,dato,7,Big data
-M2OunC4N1HIrIdCXw7z,5,velocidad,7,Big data
-M2Py7OYFbW9okIShiK4,1,conocimiento,10,Inteligencia artificial
-M2Py7OYFbW9okIShiK4,2,tecnologia,8,Inteligencia artificial
-M2Py7OYFbW9okIShiK4,3,aprendizaje,10,Inteligencia artificial
-M2Py7OYFbW9okIShiK4,4,sistematizacion,8,Inteligencia artificial
-M2Py7OYFbW9okIShiK4,5,red,5,Inteligencia artificial
-M2QSE5spCFoOnV5s1Ud,1,informatica,10,Ciencia de datos
-M2QSE5spCFoOnV5s1Ud,2,falta_educacion_el_tema,3,Ciencia de datos
-M2QSE5spCFoOnV5s1Ud,3,salida_laboral,10,Ciencia de datos
-M2QSE5spCFoOnV5s1Ud,4,futuro,8,Ciencia de datos
-M2QSE5spCFoOnV5s1Ud,5,mayor_exactitud_investigacion,10,Ciencia de datos
-M2R8KZd0JHGquTVkVba,1,china,3,Inteligencia artificial
-M2R8KZd0JHGquTVkVba,2,crecimiento_economico,9,Inteligencia artificial
-M2R8KZd0JHGquTVkVba,3,mas_tiempo_ocio,10,Inteligencia artificial
-M2R8KZd0JHGquTVkVba,4,desempleo,1,Inteligencia artificial
-M2R8KZd0JHGquTVkVba,5,inmoralidad,4,Inteligencia artificial
-M2Tcm3-ieoFiRKN9awP,1,tecnologia,10,Inteligencia artificial
-M2Tcm3-ieoFiRKN9awP,2,avance,7,Inteligencia artificial
-M2Tcm3-ieoFiRKN9awP,3,futuro,6,Inteligencia artificial
-M2Tcm3-ieoFiRKN9awP,4,acceso,6,Inteligencia artificial
-M2Tcm3-ieoFiRKN9awP,5,estudio,8,Inteligencia artificial
-M2U9XO1xbr_iVeyygQL,1,futuro_cercano,7,Inteligencia artificial
-M2U9XO1xbr_iVeyygQL,2,robot,6,Inteligencia artificial
-M2U9XO1xbr_iVeyygQL,3,tecnologia_avanzar,10,Inteligencia artificial
-M2U9XO1xbr_iVeyygQL,4,todo_computarizado,4,Inteligencia artificial
-M2U9XO1xbr_iVeyygQL,5,educacion_distancia,10,Inteligencia artificial
-M2UARgl6K9crUNkHihJ,1,robot,6,Inteligencia artificial
-M2UARgl6K9crUNkHihJ,2,maquina,6,Inteligencia artificial
-M2UARgl6K9crUNkHihJ,3,evolucion,7,Inteligencia artificial
-M2UARgl6K9crUNkHihJ,4,salud_y_bienestar,10,Inteligencia artificial
-M2UARgl6K9crUNkHihJ,5,avance_tecnologico,7,Inteligencia artificial
-M2UCNA1khHcJAK1HfCd,1,ciencia,9,Inteligencia artificial
-M2UCNA1khHcJAK1HfCd,2,mente,8,Inteligencia artificial
-M2UCNA1khHcJAK1HfCd,3,robot,6,Inteligencia artificial
-M2UCNA1khHcJAK1HfCd,4,trabajo,3,Inteligencia artificial
-M2UCNA1khHcJAK1HfCd,5,avance,8,Inteligencia artificial
-M2UNscfItR-VKSKId1m,1,internet,5,Big data
-M2UNscfItR-VKSKId1m,2,control,1,Big data
-M2UNscfItR-VKSKId1m,3,gobierno,4,Big data
-M2UNscfItR-VKSKId1m,4,facebook,5,Big data
-M2UNscfItR-VKSKId1m,5,estadistico,6,Big data
-M2UbPdJbmdGlyJ2Ev-E,1,poder,10,Conocimiento
-M2UbPdJbmdGlyJ2Ev-E,2,compasion,7,Conocimiento
-M2UbPdJbmdGlyJ2Ev-E,3,paciencia,10,Conocimiento
-M2UbPdJbmdGlyJ2Ev-E,4,posibilidad,10,Conocimiento
-M2UbPdJbmdGlyJ2Ev-E,5,habilidad,10,Conocimiento
-M2V1BzPUKVf3m0EIIQ-,1,analisis,10,Ciencia de datos
-M2V1BzPUKVf3m0EIIQ-,2,dato,10,Ciencia de datos
-M2V1BzPUKVf3m0EIIQ-,3,excel,10,Ciencia de datos
-M2V1BzPUKVf3m0EIIQ-,4,hora,5,Ciencia de datos
-M2V1BzPUKVf3m0EIIQ-,5,conectividad,5,Ciencia de datos
-M2V1e-eFzxowPwwxlek,1,informacion,5,Ciencia de datos
-M2V1e-eFzxowPwwxlek,2,estadistico,5,Ciencia de datos
-M2V1e-eFzxowPwwxlek,3,algoritmo,3,Ciencia de datos
-M2V1e-eFzxowPwwxlek,4,manipulacion,3,Ciencia de datos
-M2V1e-eFzxowPwwxlek,5,conectividad,5,Ciencia de datos
-M2V_ZNG-iA1FZfjiA8Q,1,tecnologia,9,Inteligencia artificial
-M2V_ZNG-iA1FZfjiA8Q,2,robotica,9,Inteligencia artificial
-M2V_ZNG-iA1FZfjiA8Q,3,internet,8,Inteligencia artificial
-M2V_ZNG-iA1FZfjiA8Q,4,computadorizado,9,Inteligencia artificial
-M2V_ZNG-iA1FZfjiA8Q,5,distancia,9,Inteligencia artificial
-M2VaVKUSk1b23LNRn5x,1,robot,10,Inteligencia artificial
-M2VaVKUSk1b23LNRn5x,2,circuito,10,Inteligencia artificial
-M2VaVKUSk1b23LNRn5x,3,algoritmo,10,Inteligencia artificial
-M2VaVKUSk1b23LNRn5x,4,programa,10,Inteligencia artificial
-M2VaVKUSk1b23LNRn5x,5,neurociencia,10,Inteligencia artificial
-M2VrWvN8OElpLuYICxi,1,analisis,10,Ciencia de datos
-M2VrWvN8OElpLuYICxi,2,informacion,10,Ciencia de datos
-M2VrWvN8OElpLuYICxi,3,modelo,10,Ciencia de datos
-M2VrWvN8OElpLuYICxi,4,prediccion,10,Ciencia de datos
-M2VrWvN8OElpLuYICxi,5,programacion,10,Ciencia de datos
-M2VuN29-er5iPCMSLpQ,1,estadistico,5,Ciencia de datos
-M2VuN29-er5iPCMSLpQ,3,big_datar,5,Ciencia de datos
-M2VuN29-er5iPCMSLpQ,4,privacidad,2,Ciencia de datos
-M2VuN29-er5iPCMSLpQ,5,inteligencia_artificial,5,Ciencia de datos
-M2VuN29-er5iPCMSLpQ,6,programacion,5,Ciencia de datos
-M2W1neOZeEpldXzRyb6,1,informacion,6,Conocimiento
-M2W1neOZeEpldXzRyb6,2,estudio,7,Conocimiento
-M2W1neOZeEpldXzRyb6,3,aprendizaje,6,Conocimiento
-M2W1neOZeEpldXzRyb6,4,desarrollo,7,Conocimiento
-M2W1neOZeEpldXzRyb6,5,capacitacion,6,Conocimiento
-M2WVsZ-_IUoEbxBpR26,1,dataso,10,Big data
-M2WVsZ-_IUoEbxBpR26,2,ayuda,10,Big data
-M2WVsZ-_IUoEbxBpR26,3,importante,9,Big data
-M2YQQ8zw9SQr7ReyQse,1,disciplina,10,Ciencia de datos
-M2YQQ8zw9SQr7ReyQse,2,informacion,5,Ciencia de datos
-M2YQQ8zw9SQr7ReyQse,3,estadistico,5,Ciencia de datos
-M2YQQ8zw9SQr7ReyQse,4,objeto,5,Ciencia de datos
-M2YQQ8zw9SQr7ReyQse,5,metodo,5,Ciencia de datos
-M2YdUBFrDxYvSG9E7X-,1,manipulacion,0,Big data
-M2YdUBFrDxYvSG9E7X-,2,control,0,Big data
-M2YdUBFrDxYvSG9E7X-,3,resolucion_problema,5,Big data
-M2YdUBFrDxYvSG9E7X-,4,multiple_estimulo,2,Big data
-M2YdUBFrDxYvSG9E7X-,5,eficacia,2,Big data
-M2ZPe7ZxQqZ5wlKKwv_,1,ciencia,10,Conocimiento
-M2ZPe7ZxQqZ5wlKKwv_,2,investigar,10,Conocimiento
-M2ZPe7ZxQqZ5wlKKwv_,3,aprender,10,Conocimiento
-M2ZPe7ZxQqZ5wlKKwv_,4,ensenar,10,Conocimiento
-M2ZPe7ZxQqZ5wlKKwv_,5,experimentar,10,Conocimiento
-M2_4r52vwcW_JKMMCW9,1,desarrollo,10,Inteligencia artificial
-M2_4r52vwcW_JKMMCW9,2,robotico,10,Inteligencia artificial
-M2_4r52vwcW_JKMMCW9,3,trabajo,5,Inteligencia artificial
-M2_4r52vwcW_JKMMCW9,4,programacion,10,Inteligencia artificial
-M2_4r52vwcW_JKMMCW9,5,comunicacion,0,Inteligencia artificial
-M2_BF9FhKtKerIS-m_v,1,ensenanza,10,Conocimiento
-M2_BF9FhKtKerIS-m_v,2,pensar,10,Conocimiento
-M2_BF9FhKtKerIS-m_v,3,estudio,10,Conocimiento
-M2_BF9FhKtKerIS-m_v,4,leer,10,Conocimiento
-M2_BF9FhKtKerIS-m_v,5,poder,5,Conocimiento
-M2_JmA6B9Hbw9zeKgX9,1,capacitacion,10,Conocimiento
-M2_JmA6B9Hbw9zeKgX9,2,tecnologico,10,Conocimiento
-M2_JmA6B9Hbw9zeKgX9,3,universidad,10,Conocimiento
-M2_JmA6B9Hbw9zeKgX9,4,educacion,10,Conocimiento
-M2_JmA6B9Hbw9zeKgX9,5,compartir,10,Conocimiento
-M2_T-DMepuBXF4aDdvC,1,grande,10,Big data
-M2_T-DMepuBXF4aDdvC,2,dato,10,Big data
-M2_T-DMepuBXF4aDdvC,3,informativo,10,Big data
-M2_T-DMepuBXF4aDdvC,4,englobo,10,Big data
-M2_T-DMepuBXF4aDdvC,5,todo,10,Big data
-M2_T-DMepuBXF4aDdvC,6,beneficio,9,Big data
-M2_iO9x2A-WaBMJIQvN,1,calidad_vida,8,Inteligencia artificial
-M2_iO9x2A-WaBMJIQvN,2,falta_intimidad,3,Inteligencia artificial
-M2_iO9x2A-WaBMJIQvN,3,democratizacion_el_conocimiento,10,Inteligencia artificial
-M2_iO9x2A-WaBMJIQvN,4,perdida_fuente_trabajo,2,Inteligencia artificial
-M2_iO9x2A-WaBMJIQvN,5,avance_tecnologico,5,Inteligencia artificial
-M2aO3obHm9zyRHATdIX,1,saber,10,Conocimiento
-M2aO3obHm9zyRHATdIX,2,explotacion,10,Conocimiento
-M2aO3obHm9zyRHATdIX,3,diverso,10,Conocimiento
-M2aO3obHm9zyRHATdIX,4,academico,0,Conocimiento
-M2aO3obHm9zyRHATdIX,5,elitista,0,Conocimiento
-M2ad18zqr2KjGUCMABe,1,manipulacion,0,Ciencia de datos
-M2ad18zqr2KjGUCMABe,2,vulnerabilidad,0,Ciencia de datos
-M2ad18zqr2KjGUCMABe,3,encuestar,5,Ciencia de datos
-M2ad18zqr2KjGUCMABe,4,masificacion,0,Ciencia de datos
-M2ad18zqr2KjGUCMABe,5,armado,0,Ciencia de datos
-M2bD0ysQm2fF6YIXdol,1,tecnologia,8,Inteligencia artificial
-M2bD0ysQm2fF6YIXdol,2,avanzar,5,Inteligencia artificial
-M2bD0ysQm2fF6YIXdol,3,pensar,10,Inteligencia artificial
-M2bD0ysQm2fF6YIXdol,4,futuro,8,Inteligencia artificial
-M2bD0ysQm2fF6YIXdol,5,incertidumbre,8,Inteligencia artificial
-M2bdaw3Z0gr278RXpoB,1,robotica,2,Inteligencia artificial
-M2bdaw3Z0gr278RXpoB,2,informatica,0,Inteligencia artificial
-M2bdaw3Z0gr278RXpoB,3,sistema,3,Inteligencia artificial
-M2bdaw3Z0gr278RXpoB,4,programacion,2,Inteligencia artificial
-M2bdaw3Z0gr278RXpoB,5,circuito,3,Inteligencia artificial
-M2bdaw3Z0gr278RXpoB,6,registro,2,Inteligencia artificial
-M2cmwW-dpAVsdv06UqZ,1,precision,10,NA
-M2cmwW-dpAVsdv06UqZ,2,tic,10,NA
-M2cmwW-dpAVsdv06UqZ,3,eficiencia,10,NA
-M2cmwW-dpAVsdv06UqZ,4,informacion,10,NA
-M2cmwW-dpAVsdv06UqZ,5,programacion,10,NA
-M2cwJY5t44seDGPjsIO,1,robot,6,Inteligencia artificial
-M2cwJY5t44seDGPjsIO,2,realidad_virtual,7,Inteligencia artificial
-M2cwJY5t44seDGPjsIO,3,celular,2,Inteligencia artificial
-M2cwJY5t44seDGPjsIO,4,disminucion_el_creatividad,1,Inteligencia artificial
-M2cwJY5t44seDGPjsIO,5,poco_interaccion_social,2,Inteligencia artificial
-M2d82bYnFG_lGiw8vbh,1,prototipo,5,Inteligencia artificial
-M2d82bYnFG_lGiw8vbh,2,computadora,5,Inteligencia artificial
-M2d82bYnFG_lGiw8vbh,3,algoritmo,5,Inteligencia artificial
-M2d82bYnFG_lGiw8vbh,4,cibernetica,5,Inteligencia artificial
-M2d82bYnFG_lGiw8vbh,5,neurociencia,5,Inteligencia artificial
-M2dJa_ek2qv-rRMQuW9,1,robot,4,Inteligencia artificial
-M2dJa_ek2qv-rRMQuW9,2,computadora,4,Inteligencia artificial
-M2dJa_ek2qv-rRMQuW9,3,apps,5,Inteligencia artificial
-M2dJa_ek2qv-rRMQuW9,4,celular,5,Inteligencia artificial
-M2dJa_ek2qv-rRMQuW9,5,holograma,5,Inteligencia artificial
-M2dZI2HKOkR_fDMwA4X,1,mentira,8,Inteligencia artificial
-M2dZI2HKOkR_fDMwA4X,2,creado,5,Inteligencia artificial
-M2dZI2HKOkR_fDMwA4X,3,robot,8,Inteligencia artificial
-M2dZI2HKOkR_fDMwA4X,4,mucho,0,Inteligencia artificial
-M2dZI2HKOkR_fDMwA4X,5,utopica,5,Inteligencia artificial
-M2de2c3Hyqv3ubuhvIU,1,estadistico,9,Ciencia de datos
-M2de2c3Hyqv3ubuhvIU,2,cuantitativo,4,Ciencia de datos
-M2de2c3Hyqv3ubuhvIU,3,digital,9,Ciencia de datos
-M2de2c3Hyqv3ubuhvIU,4,posthumano,3,Ciencia de datos
-M2de2c3Hyqv3ubuhvIU,5,interpretacion,7,Ciencia de datos
-M2e6O_WHZM0MXYY-thH,1,avance,10,Big data
-M2e6O_WHZM0MXYY-thH,2,tecnologico,10,Big data
-M2e6O_WHZM0MXYY-thH,3,conexion,7,Big data
-M2e6O_WHZM0MXYY-thH,4,mundial,10,Big data
-M2e6O_WHZM0MXYY-thH,5,utilidad,10,Big data
-M2fELkpj6exAMlFMdKd,1,informacion,0,Big data
-M2fELkpj6exAMlFMdKd,2,base_dato,0,Big data
-M2fELkpj6exAMlFMdKd,3,accesibilidad,0,Big data
-M2fELkpj6exAMlFMdKd,4,comunidad,0,Big data
-M2fELkpj6exAMlFMdKd,5,gran_archivo,0,Big data
-M2fa93EaxIziPTIDVZq,1,robot,6,Inteligencia artificial
-M2fa93EaxIziPTIDVZq,2,facilidad,9,Inteligencia artificial
-M2fa93EaxIziPTIDVZq,3,futuro,7,Inteligencia artificial
-M2fa93EaxIziPTIDVZq,4,dato,7,Inteligencia artificial
-M2fa93EaxIziPTIDVZq,5,sencillez,8,Inteligencia artificial
-M2fccaJlJ2_P0vc866_,1,computacion,8,Ciencia de datos
-M2fccaJlJ2_P0vc866_,2,matematico,8,Ciencia de datos
-M2fccaJlJ2_P0vc866_,3,estadistico,8,Ciencia de datos
-M2fccaJlJ2_P0vc866_,4,ciencia,8,Ciencia de datos
-M2fccaJlJ2_P0vc866_,5,grafico,8,Ciencia de datos
-M2fpOVv1Q7R8KPgXPKb,1,exceso_informacion,2,Big data
-M2fpOVv1Q7R8KPgXPKb,2,acoso_mediatico,0,Big data
-M2fpOVv1Q7R8KPgXPKb,3,manipulacion_informacion,2,Big data
-M2fpOVv1Q7R8KPgXPKb,4,posmodernidad,2,Big data
-M2fpOVv1Q7R8KPgXPKb,5,libre_acceso,8,Big data
-M2g4wSHzU9TUw55916b,1,informatica,5,Ciencia de datos
-M2g4wSHzU9TUw55916b,2,tecnologia,8,Ciencia de datos
-M2g4wSHzU9TUw55916b,3,informacion,10,Ciencia de datos
-M2g4wSHzU9TUw55916b,4,desinformacion,0,Ciencia de datos
-M2g4wSHzU9TUw55916b,5,internet,7,Ciencia de datos
-M2hqEpur6zagMpnQfmf,1,informacion,10,Big data
-M2hqEpur6zagMpnQfmf,2,global,10,Big data
-M2hqEpur6zagMpnQfmf,3,buscador,10,Big data
-M2hqEpur6zagMpnQfmf,4,ordenador,10,Big data
-M2hqEpur6zagMpnQfmf,5,gratis,10,Big data
-M2i0rFGM9ErVXck8vtf,1,sobreinformacion,1,Big data
-M2i0rFGM9ErVXck8vtf,2,invasion_el_privacidad,0,Big data
-M2i0rFGM9ErVXck8vtf,3,globalizacion,5,Big data
-M2i0rFGM9ErVXck8vtf,4,acceso_informacion,8,Big data
-M2i0rFGM9ErVXck8vtf,5,manipulacion_dato_sensible,0,Big data
-M2i3IK6BZvZimYl7-KA,1,mucho_dato,10,Big data
-M2i3IK6BZvZimYl7-KA,2,desbordar,2,Big data
-M2i3IK6BZvZimYl7-KA,3,virtualidad,8,Big data
-M2i3IK6BZvZimYl7-KA,4,uso_dato,2,Big data
-M2i3IK6BZvZimYl7-KA,5,analisis,10,Big data
-M2ieGdfrzpkyEWXEE6x,1,programacion,8,Inteligencia artificial
-M2ieGdfrzpkyEWXEE6x,2,robotico,3,Inteligencia artificial
-M2ieGdfrzpkyEWXEE6x,3,modelo_predictivo,10,Inteligencia artificial
-M2ieGdfrzpkyEWXEE6x,4,ciencia_dato,10,Inteligencia artificial
-M2ieGdfrzpkyEWXEE6x,5,analisis,10,Inteligencia artificial
-M2ifpkvdvYbkERCFhN5,1,python,10,Ciencia de datos
-M2ifpkvdvYbkERCFhN5,2,lenguaje_natural,10,Ciencia de datos
-M2ifpkvdvYbkERCFhN5,3,lenguaje_r,10,Ciencia de datos
-M2ifpkvdvYbkERCFhN5,4,procesamiento_imagen,10,Ciencia de datos
-M2ifpkvdvYbkERCFhN5,5,datar_mining,10,Ciencia de datos
-M2ifpkvdvYbkERCFhN5,6,dataset,8,Ciencia de datos
-M2ip3BbWLmfSrgz2uYm,1,software,0,Ciencia de datos
-M2ip3BbWLmfSrgz2uYm,2,internet,5,Ciencia de datos
-M2ip3BbWLmfSrgz2uYm,3,acceso,5,Ciencia de datos
-M2ip3BbWLmfSrgz2uYm,4,conocimiento,5,Ciencia de datos
-M2ip3BbWLmfSrgz2uYm,5,dispositivo,5,Ciencia de datos
-M2j8TRe1A9HzDQOz-Dl,1,dato,4,Big data
-M2j8TRe1A9HzDQOz-Dl,2,internet,8,Big data
-M2j8TRe1A9HzDQOz-Dl,3,web,3,Big data
-M2j8TRe1A9HzDQOz-Dl,4,aplicacion,7,Big data
-M2j8TRe1A9HzDQOz-Dl,5,informacion,3,Big data
-M2j_dvQIpocfeq_ONWP,1,banco,3,Big data
-M2j_dvQIpocfeq_ONWP,2,dato,8,Big data
-M2j_dvQIpocfeq_ONWP,3,codigo,9,Big data
-M2j_dvQIpocfeq_ONWP,4,logaritmo,7,Big data
-M2j_dvQIpocfeq_ONWP,5,informacion,7,Big data
-M2k60XhyQZGUZBnXYRd,1,maquina_turing,5,Inteligencia artificial
-M2k60XhyQZGUZBnXYRd,2,libre_albedrio,8,Inteligencia artificial
-M2k60XhyQZGUZBnXYRd,3,velocidad,5,Inteligencia artificial
-M2k60XhyQZGUZBnXYRd,4,utilidad,7,Inteligencia artificial
-M2k60XhyQZGUZBnXYRd,5,desarrollo_cientifico,9,Inteligencia artificial
-M2kRT_Ls0HPsuxuN9ev,1,informacion,10,Big data
-M2kRT_Ls0HPsuxuN9ev,2,globalizacion,6,Big data
-M2kRT_Ls0HPsuxuN9ev,3,cadena,5,Big data
-M2kRT_Ls0HPsuxuN9ev,4,masivo,4,Big data
-M2kRT_Ls0HPsuxuN9ev,5,empresar,3,Big data
-M2kwW0AiueR0x58iZSc,1,skynet,0,Inteligencia artificial
-M2kwW0AiueR0x58iZSc,2,accesibilidad,10,Inteligencia artificial
